t,i
0,-6
732,-6
1373,-5
1983,-2
2777,-2
3418,-4
4150,3
4699,3
5218,-71
5920,-71
6622,-170
7263,-257
7934,-257
8606,-15
9216,-15
9857,20
10467,5
11077,5
11688,5
12207,5
12878,-1
13519,-4
14221,-4
14953,-3
15594,-15
16204,-15
16937,-1
17578,-1
18219,-65
18890,-4
19592,-4
20202,-3
20904,-2
21576,-2
22277,-12
22918,-7
23620,-7
24200,-1
24963,-1
25634,-16
26306,-151
26916,-151
27710,-174
28320,-1
28930,-1
29602,4
30090,4
30670,-2
31311,-5
31951,-5
32653,-4
33294,-4
34057,-9
34698,-41
35308,-41
35919,-308
36621,-97
37262,-97
37902,-19
38574,-19
39215,-5
39856,6
40374,6
40924,-23
41595,-23
42205,-7
42907,-5
43609,-5
44220,-2
44891,-2
45623,-13
46325,-16
46936,-16
47638,3
48217,-14
48950,-14
49621,-8
50293,0
50811,0
51483,1
52002,1
52581,1
53161,1
53802,20
54321,20
54840,-9
55542,-165
56213,-165
56915,-278
57647,-9
58288,-9
58990,13
59539,13
60058,-3
60699,-3
61401,-4
62042,-6
62683,-6
63324,-5
63995,-3
64636,-3
65307,-9
65948,-9
66589,-18
67291,-163
68023,-163
68695,-29
69305,-4
69915,-4
70648,-5
71319,-2
71991,-2
72601,4
73181,4
73761,4
74371,4
74920,-15
75622,-117
76294,-117
76995,-34
77667,4
78186,4
78765,2
79315,2
79834,-1
80505,-1
81146,-3
81878,1
82458,1
83068,-5
83831,-5
84564,8
85144,-41
85815,-41
86547,-153
87188,-195
87829,-195
88501,14
89019,14
89630,2
90149,2
90789,-11
91461,-5
92102,-5
92743,-1
93353,-1
94024,4
94604,-9
95214,-9
95916,-19
96618,-10
97229,-10
97930,-58
98571,-58
99273,8
99823,-1
100463,-1
101135,-5
101776,-5
102417,-4
102996,-12
103637,-12
104278,-11
104950,-86
105682,-86
106323,-179
106994,-179
107727,-204
108429,2
108917,2
109527,-3
110199,-3
110900,-3
111633,-1
112213,-1
112945,-3
113708,4
114288,4
114868,-2
115478,-33
116119,-33
116851,-158
117492,-158
118133,-73
118835,-3
119506,-3
120178,7
120758,-2
121399,-2
122131,-8
122894,-8
123565,-8
124206,16
124847,16
125396,-19
126129,-155
126831,-155
127533,-30
128173,-15
128814,-15
129516,-9
130127,-9
130889,-4
131530,-18
132141,-18
132873,-14
133483,3
134033,3
134582,13
135192,13
135803,-198
136474,-198
137115,-131
137878,-79
138519,-79
139129,14
139709,-4
140411,-4
141082,1
141632,1
142242,-2
142944,-10
143707,-10
144378,-13
145050,0
145599,0
146179,-25
146881,-25
147583,-42
148193,-3
148834,-3
149566,1
150116,1
150665,1
151184,1
151763,11
152374,4
152984,4
153534,15
154083,15
154724,4
155304,4
155853,-100
156585,-23
157287,-23
157959,-27
158569,-27
159240,-4
159973,-3
160614,-3
161224,-4
161956,0
162536,0
163086,-1
163818,-1
164459,1
165008,-29
165710,-29
166320,-324
166900,-324
167572,-92
168212,-20
168823,-20
169525,6
170074,6
170623,-1
171295,12
171814,12
172485,3
173004,3
173614,3
174163,3
174713,-10
175323,-10
175994,-121
176727,-15
177398,-15
178009,-2
178772,-7
179473,-7
180084,1
180694,-2
181305,-2
181915,-1
182708,-1
183380,-12
184021,-7
184692,-7
185333,-8
186004,-197
186645,-197
187286,-163
187957,-163
188598,-14
189209,-2
189910,-2
190551,-10
191192,-4
191833,-4
192535,-7
193176,-7
193817,-1
194458,-6
195159,-6
195770,-22
196472,-12
197113,-12
197723,0
198303,0
198852,-15
199585,-15
200286,-4
200897,-4
201568,-4
202209,-23
202850,1
203399,1
203979,-5
204650,-5
205291,-113
205902,-72
206573,-72
207275,-132
207916,-132
208557,-21
209198,-5
209808,-5
210479,-5
211120,-5
211853,-1
212524,-3
213195,-3
213958,1
214477,-10
215210,-10
215850,-136
216522,-287
217132,-287
217865,-164
218505,-164
219116,-9
219726,-4
220459,-4
221130,-1
221771,-3
222442,-3
223144,-3
223877,-1
224517,-1
225189,-36
225891,-36
226593,-1
227295,-8
227966,-8
228607,-2
229278,-5
229950,-5
230590,0
231170,-2
231872,-2
232544,-2
